id;demandaId;demandaTitulo;empresa;profissionalId;profissional;compatibilidade;criterios;mensagem;acervo;situacao;data
cand-0011;2026-119;Recuperação de área degradada;Daniel Tec;prof-056;"{""nome"": ""Igor Souza Moraes"", ""iniciais"": ""IM"", ""cor"": """", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 056932/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 0, ""avaliacoes"": 0, ""verificado"": true, ""competencias"": [""Modelagem BIM"", ""Planejamento de obra"", ""Orçamento e SINAPI"", ""Revit""]}";15;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 0, ""detalhe"": ""A demanda exige Ambiental, fora das suas áreas.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 0, ""detalhe"": ""Nenhuma ART ou CAT confirmada nessa área.""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""Ainda sem avaliações na plataforma.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];visualizada;22/09/2026
cand-0012;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-012;"{""nome"": ""Henrique Castro Rocha"", ""iniciais"": ""HR"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 022190/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.1, ""avaliacoes"": 2, ""verificado"": true, ""competencias"": [""Fundações profundas"", ""Alvenaria estrutural"", ""Hidrossanitário predial""]}";77;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 10, ""detalhe"": ""1 documento confirmado na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 12, ""detalhe"": ""Média 4,1 em 2 avaliações de contratos registrados.""}]";Atuo na região e tenho equipe para começar no prazo.;[];enviada;18/09/2026
cand-0013;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-046;"{""nome"": ""Bruno Ferreira Silva"", ""iniciais"": ""BS"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 041325/D"", ""cidade"": ""Itacoatiara"", ""uf"": ""AM"", ""nota"": 4.4, ""avaliacoes"": 24, ""verificado"": true, ""competencias"": [""Concreto armado"", ""Fundações profundas""]}";83;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""3 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,4 em 24 avaliações de contratos registrados.""}]";Já trabalhei com esse tipo de serviço em 2025, com ART registrada.;[];visualizada;24/09/2026
cand-0014;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-057;"{""nome"": ""Ana Tavares Carvalho"", ""iniciais"": ""AC"", ""cor"": ""avatar-ambar"", ""titulo"": ""Engenheira civil"", ""registro"": ""CREA-AM 012371/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 3.9, ""avaliacoes"": 15, ""verificado"": true, ""competencias"": [""Cálculo estrutural"", ""Estruturas metálicas""]}";77;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 10, ""detalhe"": ""1 documento confirmado na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 12, ""detalhe"": ""Média 3,9 em 15 avaliações de contratos registrados.""}]";Atuo na região e tenho equipe para começar no prazo.;[];visualizada;20/09/2026
cand-0015;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-010;"{""nome"": ""Sérgio Lopes Ribeiro"", ""iniciais"": ""SR"", ""cor"": """", ""titulo"": ""Engenheiro civil"", ""registro"": ""Registro em regularização"", ""cidade"": ""Manacapuru"", ""uf"": ""AM"", ""nota"": 4.9, ""avaliacoes"": 1, ""verificado"": false, ""competencias"": [""Reforço estrutural"", ""Fiscalização de obra""]}";64;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 0, ""detalhe"": ""Nenhuma ART ou CAT confirmada nessa área.""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 9, ""detalhe"": ""A obra é em Manaus; você declarou atender todo o AM.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Média 4,9 em 1 avaliações de contratos registrados.""}]";Já trabalhei com esse tipo de serviço em 2025, com ART registrada.;[];recusada;18/09/2026
cand-0016;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-034;"{""nome"": ""Fábio Soares Teixeira"", ""iniciais"": ""FT"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 035754/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.2, ""avaliacoes"": 9, ""verificado"": true, ""competencias"": [""Fundações profundas"", ""Fiscalização de obra"", ""Cálculo estrutural"", ""Laudos técnicos""]}";98;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""4 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,2 em 9 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];conversa;22/09/2026
cand-0017;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-045;"{""nome"": ""Wagner Barbosa Nascimento"", ""iniciais"": ""WN"", ""cor"": """", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 016874/D"", ""cidade"": ""Presidente Figueiredo"", ""uf"": ""AM"", ""nota"": 0, ""avaliacoes"": 0, ""verificado"": true, ""competencias"": [""Alvenaria estrutural"", ""Concreto armado"", ""Licenciamento""]}";70;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""3 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""Ainda sem avaliações na plataforma.""}]";Atuo na região e tenho equipe para começar no prazo.;[];conversa;21/09/2026
cand-0018;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-053;"{""nome"": ""Pedro Almeida Farias"", ""iniciais"": ""PA"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 015860/D"", ""cidade"": ""Humaitá"", ""uf"": ""AM"", ""nota"": 4.4, ""avaliacoes"": 18, ""verificado"": true, ""competencias"": [""Alvenaria estrutural"", ""Fiscalização de obra"", ""Fundações profundas""]}";73;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Estrutural, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 20, ""detalhe"": ""2 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,4 em 18 avaliações de contratos registrados.""}]";Tenho interesse e posso visitar o local nesta semana.;[];conversa;24/09/2026
cand-0019;2026-120;Laudo de estrutura de concreto;Daniel Tec;prof-040;"{""nome"": ""Paula Barbosa Dias"", ""iniciais"": ""PD"", ""cor"": ""avatar-ambar"", ""titulo"": ""Engenheira ambiental"", ""registro"": ""CREA-RO 025401/D"", ""cidade"": ""Porto Velho"", ""uf"": ""RO"", ""nota"": 4.0, ""avaliacoes"": 31, ""verificado"": true, ""competencias"": [""Licenciamento"", ""PGRS"", ""Outorga de água"", ""Hidrogeologia""]}";12;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 0, ""detalhe"": ""A demanda exige Estrutural, fora das suas áreas.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 0, ""detalhe"": ""Nenhuma ART ou CAT confirmada nessa área.""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 12, ""detalhe"": ""Média 4,0 em 31 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];enviada;22/09/2026
cand-0020;2026-121;SPDA e aterramento;Daniel Tec;prof-037;"{""nome"": ""Caio Souza Farias"", ""iniciais"": ""CF"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheiro eletricista"", ""registro"": ""CREA-AM 030522/D"", ""cidade"": ""Humaitá"", ""uf"": ""AM"", ""nota"": 4.2, ""avaliacoes"": 15, ""verificado"": true, ""competencias"": [""Automação predial"", ""Energia solar fotovoltaica"", ""Eficiência energética"", ""Montagem industrial""]}";83;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""4 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,2 em 15 avaliações de contratos registrados.""}]";Atuo na região e tenho equipe para começar no prazo.;[];enviada;19/09/2026
cand-0021;2026-121;SPDA e aterramento;Daniel Tec;prof-015;"{""nome"": ""Isabela Barbosa Oliveira"", ""iniciais"": ""IO"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheira eletricista"", ""registro"": ""Registro em regularização"", ""cidade"": ""Boa Vista"", ""uf"": ""RR"", ""nota"": 0, ""avaliacoes"": 0, ""verificado"": false, ""competencias"": [""Subestação"", ""Automação predial"", ""Eficiência energética"", ""Sistemas de combate a incêndio""]}";40;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 0, ""detalhe"": ""Nenhuma ART ou CAT confirmada nessa área.""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""Ainda sem avaliações na plataforma.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];visualizada;17/09/2026
cand-0022;2026-121;SPDA e aterramento;Daniel Tec;prof-060;"{""nome"": ""Aline Menezes Cardoso"", ""iniciais"": ""AC"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheira eletricista"", ""registro"": ""CREA-AM 021355/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.6, ""avaliacoes"": 15, ""verificado"": true, ""competencias"": [""Automação predial"", ""Projeto elétrico"", ""Subestação""]}";79;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 10, ""detalhe"": ""1 documento confirmado na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 14, ""detalhe"": ""Média 4,6 em 15 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];enviada;22/09/2026
cand-0023;2026-121;SPDA e aterramento;Daniel Tec;prof-002;"{""nome"": ""Ana Beatriz Farias"", ""iniciais"": ""AB"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheira eletricista"", ""registro"": ""CREA-AM 028114/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.9, ""avaliacoes"": 31, ""verificado"": true, ""competencias"": [""SPDA"", ""Projeto elétrico"", ""Subestação""]}";100;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""5 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Média 4,9 em 31 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];visualizada;20/09/2026
cand-0024;2026-121;SPDA e aterramento;Daniel Tec;prof-024;"{""nome"": ""Fábio Vieira Ferreira"", ""iniciais"": ""FF"", ""cor"": ""avatar-ambar"", ""titulo"": ""Engenheiro eletricista"", ""registro"": ""CREA-AM 030836/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.3, ""avaliacoes"": 24, ""verificado"": true, ""competencias"": [""Eficiência energética"", ""Projeto elétrico"", ""Laudo de instalações elétricas"", ""Hidrogeologia""]}";98;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""6 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,3 em 24 avaliações de contratos registrados.""}]";Atuo na região e tenho equipe para começar no prazo.;[];visualizada;20/09/2026
