id;tipoConta;nome;email;documento;registro;ufRegistro;rnp;rne;titulo;situacao;cidadeExibicao;sobre;verificado;identidadeVerificada;primeiroAcesso;demonstracao;profissionalId;criadoEm;extras
emp-se;empresa;Solimões Energia;contato@solimoes.exemplo.com;82.760.821/0001-90;;AM;;;Empresa de elétrica;Ativa;Manacapuru, AM;Solimões Energia atua em elétrica na região de Manacapuru e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-08-28 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 491352640"", ""cadastroEm"": ""24/06/2026"", ""areasAtuacao"": [""Elétrica""], ""telefone"": ""(92) 3299-7710"", ""perfilDemonstracao"": true}"
emp-ti;empresa;Tarumã Incorporadora;contato@taruma.exemplo.com;56.070.022/0001-82;;AM;;;Empresa de bim;Ativa;Manaus, AM;Tarumã Incorporadora atua em bim na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-04-18 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 731512458"", ""cadastroEm"": ""13/08/2026"", ""areasAtuacao"": [""BIM"", ""Elétrica""], ""telefone"": ""(92) 3294-8660"", ""perfilDemonstracao"": true}"
emp-ea;empresa;Encontro das Águas Saneamento;contato@encontro.exemplo.com;34.327.465/0001-73;;AM;;;Empresa de hidráulica;Ativa;Manaus, AM;Encontro das Águas Saneamento atua em hidráulica na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-02 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 534432111"", ""cadastroEm"": ""25/08/2026"", ""areasAtuacao"": [""Hidráulica""], ""telefone"": ""(92) 3715-5478"", ""perfilDemonstracao"": true}"
emp-mi;empresa;Madeira Infraestrutura;contato@madeira.exemplo.com;63.717.112/0001-88;;AM;;;Empresa de geotecnia;Ativa;Humaitá, AM;Madeira Infraestrutura atua em geotecnia na região de Humaitá e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-08 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 170575054"", ""cadastroEm"": ""07/08/2026"", ""areasAtuacao"": [""Geotecnia"", ""Estrutural""], ""telefone"": ""(92) 3848-0865"", ""perfilDemonstracao"": true}"
emp-pn;empresa;Ponta Negra Empreendimentos;contato@ponta.exemplo.com;09.868.015/0001-40;;AM;;;Empresa de estrutural;Ativa;Manaus, AM;Ponta Negra Empreendimentos atua em estrutural na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-07 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 352817407"", ""cadastroEm"": ""21/05/2026"", ""areasAtuacao"": [""Estrutural"", ""Mecânica""], ""telefone"": ""(92) 3667-6015"", ""perfilDemonstracao"": true}"
emp-ig;empresa;Igarapé Consultoria Ambiental;contato@igarape.exemplo.com;50.215.205/0001-62;;AM;;;Empresa de ambiental;Ativa;Manaus, AM;Igarapé Consultoria Ambiental atua em ambiental na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-08-04 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 216301257"", ""cadastroEm"": ""13/03/2026"", ""areasAtuacao"": [""Ambiental"", ""Estrutural""], ""telefone"": ""(92) 3248-2899"", ""perfilDemonstracao"": true}"
emp-fl;empresa;Fluvial Logística do Norte;contato@fluvial.exemplo.com;18.341.908/0001-24;;AM;;;Empresa de mecânica;Ativa;Itacoatiara, AM;Fluvial Logística do Norte atua em mecânica na região de Itacoatiara e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-04-26 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 190347115"", ""cadastroEm"": ""09/07/2026"", ""areasAtuacao"": [""Mecânica""], ""telefone"": ""(92) 3715-4106"", ""perfilDemonstracao"": true}"
emp-ag;empresa;AgroVale Amazonas;contato@agrovale.exemplo.com;52.122.238/0001-93;;AM;;;Empresa de agronomia;Ativa;Presidente Figueiredo, AM;AgroVale Amazonas atua em agronomia na região de Presidente Figueiredo e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-08-23 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 329938508"", ""cadastroEm"": ""17/06/2026"", ""areasAtuacao"": [""Agronomia""], ""telefone"": ""(92) 3167-3720"", ""perfilDemonstracao"": true}"
emp-hc;contratante;Hospital Cidade Nova;contato@hospital.exemplo.com;04.054.246/0001-05;;AM;;;Contratante;;Manaus, AM;Hospital Cidade Nova atua em mecânica na região de Manaus e contrata profissionais registrados pelo ProLink.;nao;;nao;sim;;2026-07-23 09:00:00;"{""situacaoConta"": ""Sem registro"", ""registroExibicao"": ""—"", ""cadastroEm"": ""13/04/2026"", ""areasAtuacao"": [""Mecânica"", ""BIM""], ""telefone"": ""(92) 3597-6482"", ""perfilDemonstracao"": true}"
emp-cf;empresa;Climatiza Norte;contato@climatiza.exemplo.com;64.129.744/0001-93;;AM;;;Empresa de mecânica;Ativa;Manaus, AM;Climatiza Norte atua em mecânica na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-08-21 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 448992023"", ""cadastroEm"": ""10/08/2026"", ""areasAtuacao"": [""Mecânica"", ""Hidráulica""], ""telefone"": ""(92) 3874-7327"", ""perfilDemonstracao"": true}"
emp-pt;contratante;Prefeitura de Tefé;contato@prefeitura.exemplo.com;13.936.055/0001-50;;AM;;;Contratante;;Tefé, AM;Prefeitura de Tefé atua em hidráulica na região de Tefé e contrata profissionais registrados pelo ProLink.;nao;;nao;sim;;2026-03-10 09:00:00;"{""situacaoConta"": ""Sem registro"", ""registroExibicao"": ""—"", ""cadastroEm"": ""15/06/2026"", ""areasAtuacao"": [""Hidráulica"", ""Geotecnia""], ""telefone"": ""(92) 3950-7651"", ""perfilDemonstracao"": true}"
emp-sl;empresa;Sol da Amazônia Fotovoltaica;contato@sol.exemplo.com;60.564.333/0001-75;;AM;;;Empresa de elétrica;Ativa;Manaus, AM;Sol da Amazônia Fotovoltaica atua em elétrica na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-07-15 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 716881860"", ""cadastroEm"": ""13/05/2026"", ""areasAtuacao"": [""Elétrica""], ""telefone"": ""(92) 3111-9352"", ""perfilDemonstracao"": true}"
emp-gm;empresa;GeoMapa Levantamentos;contato@geomapa.exemplo.com;77.109.964/0001-05;;AM;;;Empresa de geotecnia;Ativa;Manaus, AM;GeoMapa Levantamentos atua em geotecnia na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-10 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 945810792"", ""cadastroEm"": ""28/08/2026"", ""areasAtuacao"": [""Geotecnia""], ""telefone"": ""(92) 3498-8909"", ""perfilDemonstracao"": true}"
emp-ci;contratante;Condomínio Industrial Aleixo;contato@condomínio.exemplo.com;72.056.832/0001-30;;AM;;;Contratante;;Manaus, AM;Condomínio Industrial Aleixo atua em elétrica na região de Manaus e contrata profissionais registrados pelo ProLink.;nao;;nao;sim;;2026-06-13 09:00:00;"{""situacaoConta"": ""Sem registro"", ""registroExibicao"": ""—"", ""cadastroEm"": ""13/07/2026"", ""areasAtuacao"": [""Elétrica"", ""Estrutural""], ""telefone"": ""(92) 3998-3998"", ""perfilDemonstracao"": true}"
emp-mc;contratante;Maués Cooperativa Agrícola;contato@maues.exemplo.com;65.164.807/0001-05;;AM;;;Contratante;;Maués, AM;Maués Cooperativa Agrícola atua em agronomia na região de Maués e contrata profissionais registrados pelo ProLink.;nao;;nao;sim;;2026-07-17 09:00:00;"{""situacaoConta"": ""Sem registro"", ""registroExibicao"": ""—"", ""cadastroEm"": ""22/03/2026"", ""areasAtuacao"": [""Agronomia"", ""Agronomia""], ""telefone"": ""(92) 3615-9710"", ""perfilDemonstracao"": true}"
emp-bv;empresa;Boa Vista Obras e Serviços;contato@boa.exemplo.com;62.209.876/0001-08;;AM;;;Empresa de estrutural;Ativa;Boa Vista, AM;Boa Vista Obras e Serviços atua em estrutural na região de Boa Vista e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-07-11 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 287843209"", ""cadastroEm"": ""02/08/2026"", ""areasAtuacao"": [""Estrutural""], ""telefone"": ""(92) 3354-9382"", ""perfilDemonstracao"": true}"
emp-pv;empresa;Porto Velho Engenharia;contato@porto.exemplo.com;00.989.760/0001-73;;AM;;;Empresa de hidráulica;Ativa;Porto Velho, AM;Porto Velho Engenharia atua em hidráulica na região de Porto Velho e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-03-06 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 366588097"", ""cadastroEm"": ""24/08/2026"", ""areasAtuacao"": [""Hidráulica""], ""telefone"": ""(92) 3190-1841"", ""perfilDemonstracao"": true}"
u-prof-002;profissional;Ana Beatriz Farias;ana.farias@exemplo.com;822.070.169-27;028114/D;AM;;;Engenheira eletricista;Ativo;Manaus, AM;Projeto elétrico industrial e SPDA. Complementa projeto estrutural em obras que exigem as duas disciplinas.;sim;;nao;sim;prof-002;2026-04-20 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 028114/D"", ""perfilDemonstracao"": true}"
u-prof-003;profissional;Lucas Martins;lucas.martins@exemplo.com;844.278.206-03;034720/D;AM;;;Engenheiro ambiental;Ativo;Manaus, AM;Licenciamento ambiental na região metropolitana, com histórico em empreendimentos às margens de corpos d'água.;sim;;nao;sim;prof-003;2026-08-05 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 034720/D"", ""perfilDemonstracao"": true}"
u-prof-004;profissional;Rafael Souza;rafael.souza@exemplo.com;443.177.466-11;;AM;;;Engenheiro mecânico;Em regularização;Manaus, AM;Montagem industrial e tubulação. O Crea ainda não confirmou este registro.;nao;;nao;sim;prof-004;2026-05-07 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-005;profissional;Paula Menezes;paula.menezes@exemplo.com;231.677.792-92;041288/D;AM;;;Engenheira agrônoma;Ativo;Itacoatiara, AM;Projetos de irrigação e manejo de solo no interior do estado.;sim;;nao;sim;prof-005;2026-03-10 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 041288/D"", ""perfilDemonstracao"": true}"
u-prof-006;profissional;Vanessa Teixeira Dias;vanessa.dias@exemplo.com;153.447.967-81;045262/D;RO;2638601278;;Engenheira ambiental;Ativo;Porto Velho, RO;Engenheira ambiental com atuação em monitoramento ambiental e recuperação de áreas degradadas. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-006;2026-04-12 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-RO 045262/D"", ""perfilDemonstracao"": true}"
u-prof-007;profissional;Fábio Oliveira Barbosa;fábio.barbosa@exemplo.com;218.990.332-70;045758/D;AM;2675134554;;Engenheiro mecânico;Ativo;Manaus, AM;Engenheiro mecânico com atuação em sistemas de combate a incêndio e montagem industrial. 7 documentos confirmados no Crea.;sim;;nao;sim;prof-007;2026-03-05 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 045758/D"", ""perfilDemonstracao"": true}"
u-prof-008;profissional;Thiago Teixeira Souza;thiago.souza@exemplo.com;668.692.271-44;043762/D;AM;2660789987;;Engenheiro agrônomo;Ativo;Manaus, AM;Engenheiro agrônomo com atuação em irrigação e receituário agronômico. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-008;2026-04-17 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 043762/D"", ""perfilDemonstracao"": true}"
u-prof-009;profissional;Raquel Souza Castro;raquel.castro@exemplo.com;312.947.150-20;018870/D;AM;2668142594;;Geóloga;Ativo;Iranduba, AM;Geóloga com atuação em estabilidade de taludes e contenções. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-009;2026-08-05 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 018870/D"", ""perfilDemonstracao"": true}"
u-prof-010;profissional;Sérgio Lopes Ribeiro;sérgio.ribeiro@exemplo.com;952.920.742-50;;AM;;;Engenheiro civil;Em regularização;Manacapuru, AM;Engenheiro civil com atuação em reforço estrutural e fiscalização de obra. Acervo ainda em formação.;nao;;nao;sim;prof-010;2026-05-13 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-011;profissional;Caio Oliveira Silva;caio.silva@exemplo.com;579.837.176-01;;AM;;;Engenheiro mecânico;Em regularização;Coari, AM;Engenheiro mecânico com atuação em manutenção industrial e tubulação industrial. Acervo ainda em formação.;nao;;nao;sim;prof-011;2026-04-10 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-012;profissional;Henrique Castro Rocha;henrique.rocha@exemplo.com;526.064.501-40;022190/D;AM;2636615522;;Engenheiro civil;Ativo;Manaus, AM;Engenheiro civil com atuação em fundações profundas e alvenaria estrutural. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-012;2026-03-10 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 022190/D"", ""perfilDemonstracao"": true}"
u-prof-013;profissional;Camila Ribeiro Oliveira;camila.oliveira@exemplo.com;594.609.658-30;047227/D;AM;2676481961;;Engenheira sanitarista;Ativo;Tefé, AM;Engenheira sanitarista com atuação em esgotamento sanitário e hidrossanitário predial. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-013;2026-05-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 047227/D"", ""perfilDemonstracao"": true}"
u-prof-014;profissional;Yasmin Ferreira Dias;yasmin.dias@exemplo.com;007.485.148-99;036977/D;AM;2655637040;;Geóloga;Ativo;Manaus, AM;Geóloga com atuação em contenções e hidrogeologia. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-014;2026-03-01 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 036977/D"", ""perfilDemonstracao"": true}"
u-prof-015;profissional;Isabela Barbosa Oliveira;isabela.oliveira@exemplo.com;133.156.040-37;;RR;;;Engenheira eletricista;Em regularização;Boa Vista, RR;Engenheira eletricista com atuação em subestação e automação predial. Acervo ainda em formação.;nao;;nao;sim;prof-015;2026-07-07 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-016;profissional;Sabrina Santos Farias;sabrina.farias@exemplo.com;781.959.610-45;020624/D;AM;2615875669;;Engenheira mecânica;Ativo;Manaus, AM;Engenheira mecânica com atuação em vasos de pressão (nr-13) e tubulação industrial. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-016;2026-03-02 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 020624/D"", ""perfilDemonstracao"": true}"
u-prof-017;profissional;Wagner Oliveira Barbosa;wagner.barbosa@exemplo.com;195.444.615-23;043688/D;AM;2645729726;;Engenheiro agrônomo;Ativo;Iranduba, AM;Engenheiro agrônomo com atuação em manejo de solo e irrigação. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-017;2026-03-12 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 043688/D"", ""perfilDemonstracao"": true}"
u-prof-018;profissional;Leonardo Carvalho Almeida;leonardo.almeida@exemplo.com;753.921.025-73;045965/D;AM;2690382673;;Engenheiro ambiental;Ativo;Manaus, AM;Engenheiro ambiental com atuação em estudos de impacto e outorga de água. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-018;2026-05-19 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 045965/D"", ""perfilDemonstracao"": true}"
u-prof-019;profissional;Carolina Santana Freitas;carolina.freitas@exemplo.com;092.188.904-68;019299/D;AM;2644776368;;Engenheira civil;Ativo;Iranduba, AM;Engenheira civil com atuação em planejamento de obra e compatibilização de projetos. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-019;2026-07-20 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 019299/D"", ""perfilDemonstracao"": true}"
u-prof-020;profissional;Paula Lopes Gomes;paula.gomes@exemplo.com;531.423.733-49;057620/D;AM;2651163606;;Geóloga;Ativo;Iranduba, AM;Geóloga com atuação em hidrogeologia e estabilidade de taludes. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-020;2026-08-13 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 057620/D"", ""perfilDemonstracao"": true}"
u-prof-021;profissional;Débora Queiroz Souza;débora.souza@exemplo.com;979.516.854-10;047130/D;AM;2657887514;;Engenheira civil;Ativo;Manaus, AM;Engenheira civil com atuação em revit e planejamento de obra. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-021;2026-04-09 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 047130/D"", ""perfilDemonstracao"": true}"
u-prof-022;profissional;Leonardo Moraes Silva;leonardo.silva@exemplo.com;744.805.949-14;027501/D;AM;2617528726;;Geólogo;Ativo;Manaus, AM;Geólogo com atuação em contenções e sondagem. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-022;2026-07-02 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 027501/D"", ""perfilDemonstracao"": true}"
u-prof-023;profissional;Leonardo Almeida Cardoso;leonardo.cardoso@exemplo.com;655.856.252-92;023524/D;AM;2694692739;;Engenheiro ambiental;Ativo;Manaus, AM;Engenheiro ambiental com atuação em licenciamento e monitoramento ambiental. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-023;2026-07-09 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 023524/D"", ""perfilDemonstracao"": true}"
u-prof-024;profissional;Fábio Vieira Ferreira;fábio.ferreira@exemplo.com;561.863.405-89;030836/D;AM;2648329025;;Engenheiro eletricista;Ativo;Manaus, AM;Engenheiro eletricista com atuação em eficiência energética e projeto elétrico. 8 documentos confirmados no Crea.;sim;;nao;sim;prof-024;2026-06-03 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 030836/D"", ""perfilDemonstracao"": true}"
u-prof-025;profissional;Rodrigo Lima Monteiro;rodrigo.monteiro@exemplo.com;357.506.942-59;;RO;;;Engenheiro agrônomo;Em regularização;Porto Velho, RO;Engenheiro agrônomo com atuação em georreferenciamento rural e manejo de solo. Acervo ainda em formação.;nao;;nao;sim;prof-025;2026-06-13 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-026;profissional;Sérgio Martins Moraes;sérgio.moraes@exemplo.com;981.433.179-19;029703/D;AM;2669065416;;Engenheiro civil;Ativo;Parintins, AM;Engenheiro civil com atuação em compatibilização de projetos e orçamento e sinapi. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-026;2026-03-09 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 029703/D"", ""perfilDemonstracao"": true}"
u-prof-027;profissional;Pedro Santana Freitas;pedro.freitas@exemplo.com;307.477.763-00;053360/D;AM;2628549945;;Engenheiro mecânico;Ativo;Manaus, AM;Engenheiro mecânico com atuação em montagem industrial e sistemas de combate a incêndio. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-027;2026-08-18 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 053360/D"", ""perfilDemonstracao"": true}"
u-prof-028;profissional;Otávio Santos Soares;otávio.soares@exemplo.com;869.180.441-68;051567/D;AM;2638536141;;Engenheiro mecânico;Ativo;Itacoatiara, AM;Engenheiro mecânico com atuação em climatização e manutenção industrial. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-028;2026-07-14 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 051567/D"", ""perfilDemonstracao"": true}"
u-prof-029;profissional;Tatiane Vieira Soares;tatiane.soares@exemplo.com;134.069.563-43;;AM;;;Geóloga;Em regularização;Coari, AM;Geóloga com atuação em estabilidade de taludes e hidrogeologia. Acervo ainda em formação.;nao;;nao;sim;prof-029;2026-03-09 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
