id;protocolo;titulo;alvo;denunciante;motivo;situacao;recebida;decisao;fundamento;decididaEm;criadoEm
den-12;2026/0350;Pedido de pagamento antecipado;Prefeitura de Iranduba;Rafael Souza;A empresa pediu depósito de taxa de cadastro para liberar a vaga.;Na fila;recebida ontem;;;;2026-09-24 17:51:00
den-13;2026/0352;Acervo com CAT de outra pessoa;Wagner Oliveira Barbosa;Rio Negro Construções;A CAT anexada ao portfólio está em nome de outro engenheiro.;Na fila;recebida há 2 dias;;;;2026-09-24 10:08:00
den-14;2026/0354;Mensagem com linguagem ofensiva;Débora Queiroz Souza;Verde Engenharia;Resposta com xingamentos depois de a candidatura ser recusada.;Na fila;recebida há 3 dias;;;;2026-09-24 13:25:00
den-15;2026/0356;Exigência de gênero na demanda;Demanda 2026/158 · SPDA e aterramento;Fábio Oliveira Barbosa;O texto da demanda diz que a vaga é só para homens.;Na fila;recebida hoje;;;;2026-09-23 16:42:00
den-16;2026/0358;Empresa sem registro no Crea;Solimões Energia;Leonardo Almeida Cardoso;A empresa publica demandas de engenharia, mas não aparece como registrada no Crea-AM.;Na fila;recebida hoje;;;;2026-09-23 09:59:00
den-17;2026/0360;Avaliação falsa;Sérgio Martins Moraes;Tarumã Incorporadora;Avaliação de cinco estrelas feita por conta ligada ao próprio profissional.;Na fila;recebida ontem;;;;2026-09-23 12:16:00
den-18;2026/0362;Contato pessoal no anúncio;Demanda 2026/129 · Laudo de estrutura de concreto;Tatiane Vieira Soares;A demanda pede para chamar no telefone pessoal e fechar fora da plataforma.;Na fila;recebida ontem;;;;2026-09-22 15:33:00
den-19;2026/0364;Diploma possivelmente adulterado;Leonardo Santana Cardoso;Norte Projetos;O certificado de especialização anexado tem data e instituição inconsistentes.;Na fila;recebida há 2 dias;;;;2026-09-22 08:50:00
den-20;2026/0366;Prazo impossível com risco à segurança;Demanda 2026/157 · Inspeção de vasos de pressão;Priscila Costa Silva;Laudo estrutural exigido em 24 horas para prédio com sinais de recalque.;Na fila;recebida há 3 dias;;;;2026-09-22 11:07:00
den-21;2026/0368;Perfil com foto de terceiros;Helena Nascimento Rocha;Lucas Martins;A foto de perfil é de outro profissional conhecido na região.;Na fila;recebida hoje;;;;2026-09-21 14:24:00
den-22;2026/0370;Valor abaixo do piso salarial;Demanda 2026/128 · Recuperação de área degradada;Paula Barbosa Dias;Remuneração oferecida abaixo do salário mínimo profissional da engenharia.;Na fila;recebida hoje;;;;2026-09-21 17:41:00
den-23;2026/0372;Spam de propostas;Madeira Infraestrutura;Otávio Castro Silva;A empresa manda a mesma proposta genérica para dezenas de profissionais por dia.;Na fila;recebida ontem;;;;2026-09-21 10:58:00
den-24;2026/0374;Exercício ilegal da profissão;Henrique Almeida Lopes;Ponta Negra Empreendimentos;Pessoa sem registro se apresenta como engenheira e oferece assinar projetos.;Na fila;recebida ontem;;;;2026-09-20 13:15:00
den-25;2026/0376;Dados pessoais expostos em mensagem;Igarapé Consultoria Ambiental;Bruno Ferreira Silva;A empresa repassou CPF e endereço de candidatos em conversa com terceiros.;Na fila;recebida há 2 dias;;;;2026-09-20 16:32:00
den-26;2026/0378;Documento vencido no perfil;Yasmin Farias Castro;Fluvial Logística do Norte;A certidão de registro exibida no perfil venceu há mais de um ano.;Decidida;;Conteúdo removido;Analisado pela equipe do Crea-AM conforme os termos de uso.;19/09/2026;2026-09-20 09:49:00
den-27;2026/0380;Demanda duplicada;Demanda 2026/155 · Projeto de climatização;AgroVale Amazonas;A mesma demanda foi publicada três vezes com títulos diferentes.;Decidida;;Conteúdo removido;Analisado pela equipe do Crea-AM conforme os termos de uso.;18/09/2026;2026-09-19 12:06:00
den-28;2026/0382;Crítica técnica considerada ofensiva;Letícia Carvalho Castro;Hospital Cidade Nova;Comentário técnico duro, mas sem ofensa pessoal, em avaliação.;Decidida;;Conteúdo mantido;Analisado pela equipe do Crea-AM conforme os termos de uso.;18/09/2026;2026-09-19 15:23:00
