id;data;acao;autor;alvo;origem
aud-162;14/09/2026 11:59;Autenticação;joão@exemplo.com;João Dias Ferreira;199.***.***.69
aud-161;14/09/2026 09:02;Alteração de privacidade;paula@exemplo.com;Visibilidade do acervo;181.***.***.64
aud-160;13/09/2026 15:07;Alteração de privacidade;yasmin@exemplo.com;Visibilidade do acervo;176.***.***.112
aud-159;13/09/2026 10:27;Publicação de demanda;contato@climatiza.exemplo.com;SPDA e aterramento;197.***.***.9
aud-158;13/09/2026 14:01;Alteração de privacidade;camila@exemplo.com;Visibilidade do acervo;170.***.***.66
aud-157;13/09/2026 11:08;Bloqueio;admin@crea-am.org.br;Camila Pinheiro Freitas;190.***.***.191
aud-156;12/09/2026 16:05;Alteração de privacidade;joão@exemplo.com;Visibilidade do acervo;186.***.***.122
aud-155;12/09/2026 12:09;Decisão de denúncia;admin@crea-am.org.br;Protocolo 2026/0339;192.***.***.219
aud-154;12/09/2026 17:23;Manifestação de interesse;otávio@exemplo.com;Otávio Castro Silva → Projeto estrutural de edifício residencial;183.***.***.206
aud-153;12/09/2026 13:45;Bloqueio;admin@crea-am.org.br;Juliana Tavares Vieira;174.***.***.221
aud-152;11/09/2026 19:01;Bloqueio;admin@crea-am.org.br;Sérgio Martins Moraes;190.***.***.176
aud-151;11/09/2026 13:33;Manifestação de interesse;sérgio@exemplo.com;Sérgio Farias Ramos → Inspeção de vasos de pressão;193.***.***.185
aud-150;11/09/2026 13:08;Autenticação;pedro@exemplo.com;Pedro Santana Freitas;199.***.***.164
aud-149;11/09/2026 10:26;Publicação de demanda;contato@porto.exemplo.com;Inspeção de vasos de pressão;186.***.***.67
aud-148;10/09/2026 12:44;Publicação de demanda;contato@amazônia.exemplo.com;Usina solar fotovoltaica;192.***.***.3
aud-147;10/09/2026 11:12;Publicação de demanda;contato@hospital.exemplo.com;Projeto de climatização;171.***.***.187
aud-146;10/09/2026 16:13;Bloqueio;admin@crea-am.org.br;Letícia Carvalho Castro;181.***.***.113
aud-145;10/09/2026 15:59;Bloqueio;admin@crea-am.org.br;João Dias Ferreira;193.***.***.121
aud-144;09/09/2026 17:44;Manifestação de interesse;pedro@exemplo.com;Pedro Menezes Lima → SPDA e aterramento;177.***.***.31
aud-143;09/09/2026 09:31;Consulta ao Crea;raquel@exemplo.com;ART 2026/146954 · RNP 2668142594;172.***.***.214
aud-142;09/09/2026 18:16;Decisão de denúncia;admin@crea-am.org.br;Protocolo 2026/0324;189.***.***.165
aud-141;09/09/2026 18:32;Publicação de demanda;contato@hospital.exemplo.com;Fiscalização de obra de saneamento;195.***.***.157
