id;nome;iniciais;cor;titulo;registro;rnp;cidade;uf;nota;avaliacoes;verificado;atendeEstado;areas;acervoPorArea;competencias;acervo;resumo
prof-020;Paula Lopes Gomes;PG;;Geóloga;CREA-AM 057620/D;2651163606;Iranduba;AM;4.0;15;sim;sim;"[""Geotecnia"", ""Hidráulica""]";"{""Geotecnia"": 4, ""Hidráulica"": 2}";"[""Hidrogeologia"", ""Estabilidade de taludes"", ""Sondagem"", ""Contenções"", ""Drenagem urbana""]";"[{""tipo"": ""ART"", ""numero"": ""2022/150952"", ""atividade"": ""Investigação geotécnica de terreno"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2024/151391"", ""atividade"": ""Estudo de estabilidade de talude"", ""area"": ""Geotecnia""}, {""tipo"": ""CAT"", ""numero"": ""2026/8137"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}, {""tipo"": ""CAT"", ""numero"": ""2023/8696"", ""atividade"": ""Sondagem SPT para edifício"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2022/153386"", ""atividade"": ""Projeto de rede de abastecimento"", ""area"": ""Hidráulica""}, {""tipo"": ""CAT"", ""numero"": ""2024/0769"", ""atividade"": ""Estação de tratamento de esgoto"", ""area"": ""Hidráulica""}]";Geóloga com atuação em hidrogeologia e estabilidade de taludes. 6 documentos confirmados no Crea.
prof-021;Débora Queiroz Souza;DS;avatar-verde;Engenheira civil;CREA-AM 047130/D;2657887514;Manaus;AM;4.4;2;sim;sim;"[""BIM"", ""Geotecnia""]";"{""BIM"": 6}";"[""Revit"", ""Planejamento de obra"", ""Compatibilização de projetos"", ""Orçamento e SINAPI"", ""Estabilidade de taludes""]";"[{""tipo"": ""ART"", ""numero"": ""2025/154610"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2022/154701"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2025/155535"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2023/3313"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2026/156838"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2024/4257"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}]";Engenheira civil com atuação em revit e planejamento de obra. 6 documentos confirmados no Crea.
prof-022;Leonardo Moraes Silva;LS;avatar-ambar;Geólogo;CREA-AM 027501/D;2617528726;Manaus;AM;0;0;sim;sim;"[""Geotecnia"", ""Agronomia""]";"{""Geotecnia"": 2, ""Agronomia"": 2}";"[""Contenções"", ""Sondagem"", ""Estabilidade de taludes"", ""Manejo de solo""]";"[{""tipo"": ""CAT"", ""numero"": ""2022/4838"", ""atividade"": ""Investigação geotécnica de terreno"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2025/158493"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}, {""tipo"": ""CAT"", ""numero"": ""2024/5919"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}, {""tipo"": ""ART"", ""numero"": ""2026/159620"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}]";Geólogo com atuação em contenções e sondagem. 4 documentos confirmados no Crea.
prof-023;Leonardo Almeida Cardoso;L;avatar-verde;Engenheiro ambiental;CREA-AM 023524/D;2694692739;Manaus;AM;4.9;4;sim;sim;"[""Ambiental""]";"{""Ambiental"": 2}";"[""Licenciamento"", ""Monitoramento ambiental"", ""Estudos de impacto"", ""PGRS""]";"[{""tipo"": ""ART"", ""numero"": ""2025/160436"", ""atividade"": ""Outorga de captação de água"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2024/8088"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}]";Engenheiro ambiental com atuação em licenciamento e monitoramento ambiental. 2 documentos confirmados no Crea.
prof-024;Fábio Vieira Ferreira;FF;avatar-ambar;Engenheiro eletricista;CREA-AM 030836/D;2648329025;Manaus;AM;4.3;24;sim;sim;"[""Elétrica"", ""Geotecnia""]";"{""Elétrica"": 6, ""Geotecnia"": 2}";"[""Eficiência energética"", ""Projeto elétrico"", ""Laudo de instalações elétricas"", ""Hidrogeologia""]";"[{""tipo"": ""ART"", ""numero"": ""2023/161620"", ""atividade"": ""Usina solar de 300 kWp"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2024/162300"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2025/0928"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2024/1794"", ""atividade"": ""Usina solar de 300 kWp"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2022/163937"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2025/2203"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/165072"", ""atividade"": ""Sondagem SPT para edifício"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2025/165913"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}]";Engenheiro eletricista com atuação em eficiência energética e projeto elétrico. 8 documentos confirmados no Crea.
prof-025;Rodrigo Lima Monteiro;RM;avatar-roxo;Engenheiro agrônomo;Registro em regularização;;Porto Velho;RO;0;0;nao;nao;"[""Agronomia""]";{};"[""Georreferenciamento rural"", ""Manejo de solo""]";[];Engenheiro agrônomo com atuação em georreferenciamento rural e manejo de solo. Acervo ainda em formação.
prof-026;Sérgio Martins Moraes;SM;avatar-verde;Engenheiro civil;CREA-AM 029703/D;2669065416;Parintins;AM;0;0;sim;sim;"[""BIM"", ""Mecânica""]";"{""BIM"": 6}";"[""Compatibilização de projetos"", ""Orçamento e SINAPI"", ""Revit"", ""Planejamento de obra"", ""Manutenção industrial""]";"[{""tipo"": ""ART"", ""numero"": ""2026/166321"", ""atividade"": ""Modelagem BIM de edifício comercial"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2026/166483"", ""atividade"": ""Modelagem BIM de edifício comercial"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2023/5236"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2022/6064"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2023/6910"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2025/7048"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}]";Engenheiro civil com atuação em compatibilização de projetos e orçamento e sinapi. 6 documentos confirmados no Crea.
prof-027;Pedro Santana Freitas;PF;avatar-roxo;Engenheiro mecânico;CREA-AM 053360/D;2628549945;Manaus;AM;4.2;2;sim;sim;"[""Mecânica"", ""Geotecnia""]";"{""Mecânica"": 1, ""Geotecnia"": 1}";"[""Montagem industrial"", ""Sistemas de combate a incêndio"", ""Estabilidade de taludes""]";"[{""tipo"": ""ART"", ""numero"": ""2024/169151"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}, {""tipo"": ""CAT"", ""numero"": ""2022/7932"", ""atividade"": ""Estudo de estabilidade de talude"", ""area"": ""Geotecnia""}]";Engenheiro mecânico com atuação em montagem industrial e sistemas de combate a incêndio. 2 documentos confirmados no Crea.
prof-028;Otávio Santos Soares;OS;avatar-ambar;Engenheiro mecânico;CREA-AM 051567/D;2638536141;Itacoatiara;AM;4.9;31;sim;nao;"[""Mecânica""]";"{""Mecânica"": 4}";"[""Climatização"", ""Manutenção industrial"", ""Tubulação industrial""]";"[{""tipo"": ""ART"", ""numero"": ""2026/170511"", ""atividade"": ""Inspeção de vasos de pressão"", ""area"": ""Mecânica""}, {""tipo"": ""CAT"", ""numero"": ""2023/0274"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/171643"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2023/171826"", ""atividade"": ""Inspeção de vasos de pressão"", ""area"": ""Mecânica""}]";Engenheiro mecânico com atuação em climatização e manutenção industrial. 4 documentos confirmados no Crea.
prof-029;Tatiane Vieira Soares;TS;;Geóloga;Registro em regularização;;Coari;AM;4.4;1;nao;nao;"[""Geotecnia""]";{};"[""Estabilidade de taludes"", ""Hidrogeologia""]";[];Geóloga com atuação em estabilidade de taludes e hidrogeologia. Acervo ainda em formação.
prof-030;Leonardo Monteiro Costa;LC;avatar-ambar;Engenheiro civil;CREA-AM 045046/D;2602447520;Maués;AM;4.0;12;sim;nao;"[""BIM""]";"{""BIM"": 5}";"[""Modelagem BIM"", ""Planejamento de obra""]";"[{""tipo"": ""ART"", ""numero"": ""2026/172673"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2022/1983"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2026/173061"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2026/173463"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2022/3023"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}]";Engenheiro civil com atuação em modelagem bim e planejamento de obra. 5 documentos confirmados no Crea.
prof-031;Carlos Vieira Farias;CF;avatar-roxo;Engenheiro mecânico;Registro em regularização;;Itacoatiara;AM;0;0;nao;sim;"[""Mecânica""]";{};"[""Vasos de pressão (NR-13)"", ""Montagem industrial""]";[];Engenheiro mecânico com atuação em vasos de pressão (nr-13) e montagem industrial. Acervo ainda em formação.
prof-032;Leonardo Santana Cardoso;LC;;Engenheiro civil;CREA-AM 048033/D;2647441910;Tefé;AM;4.8;12;sim;nao;"[""BIM"", ""Elétrica""]";"{""BIM"": 1, ""Elétrica"": 2}";"[""Compatibilização de projetos"", ""Revit"", ""Planejamento de obra"", ""Laudo de instalações elétricas""]";"[{""tipo"": ""ART"", ""numero"": ""2025/174632"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2025/174655"", ""atividade"": ""Usina solar de 300 kWp"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2022/175409"", ""atividade"": ""SPDA de centro de distribuição"", ""area"": ""Elétrica""}]";Engenheiro civil com atuação em compatibilização de projetos e revit. 3 documentos confirmados no Crea.
